track_name;id;album_name;artist_name;popularity;decade;genre;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;uri;track_href;analysis_url;duration_ms;time_signature
Dreams - 2004 Remaster;0ofHAoxe9vBkTCp2UQIavz;Rumours (Super Deluxe);Fleetwood Mac;85;1970;['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'];0.828;0.492;0;-9.744;1;0.0276;0.0644;0.00428;0.128;0.789;120.151;audio_features;spotify:track:0ofHAoxe9vBkTCp2UQIavz;https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz;https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz;257800;4
The Chain - 2004 Remaster;5e9TFTbltYBg2xThimr0rU;Rumours (Super Deluxe);Fleetwood Mac;82;1970;['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'];0.545;0.67;9;-8.81;1;0.0496;0.009;0.000822;0.0451;0.481;151.553;audio_features;spotify:track:5e9TFTbltYBg2xThimr0rU;https://api.spotify.com/v1/tracks/5e9TFTbltYBg2xThimr0rU;https://api.spotify.com/v1/audio-analysis/5e9TFTbltYBg2xThimr0rU;270213;4
Sweet Home Alabama;7e89621JPkKaeDSTQ3avtg;Second Helping;Lynyrd Skynyrd;82;1970;['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock'];0.596;0.605;7;-12.145;1;0.0255;0.181;0.000331;0.0863;0.886;97.798;audio_features;spotify:track:7e89621JPkKaeDSTQ3avtg;https://api.spotify.com/v1/tracks/7e89621JPkKaeDSTQ3avtg;https://api.spotify.com/v1/audio-analysis/7e89621JPkKaeDSTQ3avtg;283800;4
Hotel California - 2013 Remaster;40riOy7x9W7GXjyGp4pjAv;Hotel California (2013 Remaster);Eagles;83;1970;['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'];0.579;0.508;2;-9.484;1;0.027;0.00574;0.000494;0.0575;0.609;147.125;audio_features;spotify:track:40riOy7x9W7GXjyGp4pjAv;https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv;https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv;391376;4
Mr. Blue Sky;2RlgNHKcydI9sayD2Df2xp;Out of the Blue;Electric Light Orchestra;81;1970;['album rock', 'art rock', 'beatlesque', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock'];0.388;0.338;10;-10.054;1;0.0329;0.652;3.73e-06;0.248;0.478;177.765;audio_features;spotify:track:2RlgNHKcydI9sayD2Df2xp;https://api.spotify.com/v1/tracks/2RlgNHKcydI9sayD2Df2xp;https://api.spotify.com/v1/audio-analysis/2RlgNHKcydI9sayD2Df2xp;303373;4
Bohemian Rhapsody - Remastered 2011;7tFiyTwD0nx5a1eklYtX2J;A Night At The Opera (Deluxe Remastered Version);Queen;75;1970;['classic rock', 'glam rock', 'rock'];0.392;0.402;0;-9.961;0;0.0536;0.288;0.0;0.243;0.228;143.883;audio_features;spotify:track:7tFiyTwD0nx5a1eklYtX2J;https://api.spotify.com/v1/tracks/7tFiyTwD0nx5a1eklYtX2J;https://api.spotify.com/v1/audio-analysis/7tFiyTwD0nx5a1eklYtX2J;354320;4
Rocket Man (I Think It's Going To Be A Long, Long Time);3gdewACMIVMEWVbyb8O9sY;Honky Chateau;Elton John;82;1970;['glam rock', 'mellow gold', 'piano rock', 'soft rock'];0.601;0.532;10;-9.119;1;0.0286;0.432;6.25e-06;0.0925;0.341;136.571;audio_features;spotify:track:3gdewACMIVMEWVbyb8O9sY;https://api.spotify.com/v1/tracks/3gdewACMIVMEWVbyb8O9sY;https://api.spotify.com/v1/audio-analysis/3gdewACMIVMEWVbyb8O9sY;281613;4
Landslide;5ihS6UUlyQAfmp48eSkxuQ;Fleetwood Mac;Fleetwood Mac;78;1970;['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'];0.414;0.161;7;-22.32;0;0.0318;0.883;0.000223;0.117;0.423;159.375;audio_features;spotify:track:5ihS6UUlyQAfmp48eSkxuQ;https://api.spotify.com/v1/tracks/5ihS6UUlyQAfmp48eSkxuQ;https://api.spotify.com/v1/audio-analysis/5ihS6UUlyQAfmp48eSkxuQ;199493;4
Take It Easy - 2013 Remaster;4yugZvBYaoREkJKtbG08Qr;Eagles (2013 Remaster);Eagles;77;1970;['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'];0.575;0.67;7;-10.39;1;0.0318;0.343;4.95e-06;0.129;0.74;139.191;audio_features;spotify:track:4yugZvBYaoREkJKtbG08Qr;https://api.spotify.com/v1/tracks/4yugZvBYaoREkJKtbG08Qr;https://api.spotify.com/v1/audio-analysis/4yugZvBYaoREkJKtbG08Qr;211578;4
More Than a Feeling;1QEEqeFIZktqIpPI4jSVSF;Boston;Boston;79;1970;['album rock', 'art rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock'];0.377;0.682;7;-8.039;1;0.0299;0.000894;0.00217;0.0504;0.288;108.736;audio_features;spotify:track:1QEEqeFIZktqIpPI4jSVSF;https://api.spotify.com/v1/tracks/1QEEqeFIZktqIpPI4jSVSF;https://api.spotify.com/v1/audio-analysis/1QEEqeFIZktqIpPI4jSVSF;285133;4
